N° de compte;Intitulé du compte;Catégorie
1668000;Intérêts courus sur participation des salariés;PCG
1670000;Emprunts et dettes assorties de conditions particulières;PCG
1671000;Emissions de titres participatifs;PCG
1674000;Avances conditionnées de l'Etat;PCG
1675000;Emprunts participatifs;PCG
1680000;Autres emprunts et dettes assimilées;PCG
1681000;Autres emprunts;PCG
1685000;Rentes viagères capitalisées;PCG
1687000;Autres dettes;PCG
1688000;Intérêts courus sur autres emprunts et dettes assimilées;PCG
1690000;Prime de remboursement des emprunts;PCG
1710000;Dettes rattachées à des participations - groupe;PCG
1740000;Dettes rattachées à des participations - hors groupe;PCG
1780000;Dettes rattachées à des sociétés en participation;PCG
1810000;Comptes de liaison des établissement;PCG
1860000;Biens et prestations de services échangés entre établissements - charges;PCG
1870000;Biens et prestations de services échangés entre établissements - produits;PCG
1880000;Comptes de liaison des sociétés en participation;PCG
2010000;Frais d'établissement;PCG
2011000;Frais de constitution;PCG
2012000;Frais de premier établissement;PCG
2013000;Frais d'augmentation de capital et d'opérations diverses - fusions, scissions, transformations;PCG
2030000;Frais de développement;PCG
2050000;Concessions et droits similaires, brevets, licences, marques, procédés, solutions informatiques, droits et valeurs similaires;PCG
2060000;Droit au bail;PCG
2070000;Fond commercial;PCG
2080000;Autres immobilisations incorporelles;PCG
2081000;Mali de fusion sur actifs incorporels;PCG
2110000;Terrains;PCG
2111000;Terrains nus;PCG
2112000;Terrains aménagés;PCG
2113000;Sous-sols et sur-sols;PCG
2114000;Terrains de carrières (tréfonds);PCG
2115000;Terrains bâtis;PCG
2120000;Agencements et aménagements de terrains (même ventilation que le compte 211);PCG
2130000;Constructions;PCG
2131000;Bâtiments;PCG
2135000;installations générales - agencements - aménagements des constructions;PCG
2138000;Ouvrages d'infrastructure;PCG
2140000;Construction sur sol d'autrui (même ventilation que le compte 213);PCG
2150000;Installations techniques, matériels et outillages industriels;PCG
2151000;Installations complexes spécialisées;PCG
2153000;Installations à caractère spécifique;PCG
2154000;Matériel industriel;PCG
2155000;Outillage industriel;PCG
2157000;Agencements et aménagements des matériels et outillages industriels;PCG
2180000;Autres immobilisations corporelles;PCG
2181000;Installations générales, agencements, aménagements divers;PCG
2182000;Matériel de transport;PCG
2183000;Matériel de bureau et informatique;PCG
2184000;Mobilier;PCG
2185000;Cheptel;PCG
2186000;Emballages récupérables;PCG
2187000;Mali de fusion sur actifs corporels;PCG
2290000;Droit au concédant;PCG
2310000;Immobilisations corporelles en cours;PCG
2320000;Immobilisations incorporelles en cours;PCG
2370000;Avances et acomptes versés sur commandes d'immobilisations incorporelles;PCG
2380000;Avances et acomptes versés sur commandes d'immobilisations corporelles;PCG
2610000;Titres de participation;PCG
2611000;Actions;PCG
2618000;Autres titres;PCG
2620000;Titres évalués par équivalence;PCG
2660000;Autres formes de participation;PCG
2661000;Droits représentatifs d'actifs nets remis en fiducie;PCG
2670000;Créances rattachées à des participations;PCG
2671000;Créances rattachées à des participations - groupe;PCG
2674000;Créances rattachées à des participations - hors groupe;PCG
2675000;Versements représentatifs d'apports non capitalisés - appels de fonds;PCG
2676000;Avances consolidables;PCG
2677000;Autres créances rattachées à des participations;PCG
2678000;Intérêts courus;PCG
2680000;Créances rattachées à des sociétés en participation;PCG
2681000;Principal;PCG
2688000;Intérêts courus;PCG
2690000;Versements restants à effectuer sur titres de participation non libérés;PCG
2710000;Titres immobilisés autres que les titres immobilisés de l'activité de portefeuille (droit de propriété);PCG
2711000;Actions;PCG
2718000;Autres titres;PCG
2720000;Titres immobilisés (droit de créance);PCG
2721000;Obligations;PCG
2722000;Bons;PCG
2730000;Titres immobilisés de l'activité de portefeuille;PCG
2740000;Prêts;PCG
2741000;Prêts participatifs;PCG
2742000;Prêts aux associés;PCG
2743000;Prêts au personnel;PCG
2748000;Autres prêts;PCG
2750000;Dépots et cautionnements versés;PCG
2751000;Dépôts;PCG
2755000;Cautionnements;PCG
2760000;Autres créances immobilisées;PCG
2761000;Créances diverses;PCG
2768000;Intérêts courus;PCG
2770000;Actions propres ou parts propres;PCG
2771000;Actions propres ou parts propres;PCG
2772000;Actions propres ou parts propres en vois d'annulation;PCG
2780000;Mali de fusion sur actifs financiers;PCG
2790000;Versements restants à effectuer sur titres immobilisés non libérés;PCG
2800000;Amortissements des immobilisations incoporelles et des frais d'établissement (même ventilation que celle du compte 20);PCG
2801000;Frais d'établissement (même ventilation que celle du compte 201);PCG
2803000;Frais de développement;PCG
2805000;Concessions et droits similaires, brevets, licences, marques, procédés, solutions informatiques, droits et valeurs similaires;PCG
2806000;Droit au bail;PCG
2807000;Fonds commercial;PCG
2808000;Autres immobilisations incorporelles;PCG
2810000;Amortissements des immobilisations corporelles (même ventilation que celle du compte 21);PCG
2812000;Agencements, aménagements de terrains (même ventilation que celle du compte 212);PCG
2813000;Constructions (même ventilation que celle du compte 213);PCG
2814000;Constructions sur sol d'autrui (même ventilation que celle du compte 214);PCG
2815000;Installations techniques, matériels et outillages industriels (même ventilation que celle du compte 215);PCG
2818000;Autres immobilisations corporelles (même ventilation que celle du compte 218);PCG
2818100;Amortissement installations générales, agencements, aménagements divers;PCG
2818200;Amortissement du matériel de transport;PCG
2818300;Amortissement matériel de bureau;PCG
2818400;Amortissement mobilier;PCG
2820000;Amortissements des immobilisations mises en concession;PCG
2900000;Dépréciations des immobilisations incorporelles;PCG
2901000;Frais d'établissement;PCG
2903000;Frais de développement;PCG
2905000;Marques, procédés, droits et valeurs similaires;PCG
2906000;Droit au bail;PCG
2907000;Fonds commercial;PCG
2908000;Autres immobilisations incorporelles;PCG
2910000;Dépréciations des immobilisations corporelles;PCG
2911000;Terrains;PCG
2912000;Agencements et aménagements de terrains;PCG
2913000;Constructions;PCG
2914000;Constructions sur sol d'autrui;PCG
2915000;Installations techniques, matériels et outillages industriels;PCG
2918000;Autres immobilisations corporelles;PCG
2920000;Dépréciations des immobilisations mises en concessions;PCG
2930000;Dépréciations des immobilisations en cours;PCG
2931000;Immobilisations coporelles en cours;PCG
2932000;Immobilisations incorporelles en cours;PCG
2960000;Dépréciations des participations et créances rattachées à des participations;PCG
2961000;Titres de participation;PCG
2962000;Titres évalués par équivalence;PCG
2966000;Autres formes de participation;PCG
2967000;Créances rattachées à des participations (même ventilation que celle du compte 267);PCG
2968000;Créances rattachées à des sociétés en participation (même ventilation que celle du compte 268);PCG
2970000;Dépréciations des autres immobilisations financières;PCG
2971000;Titres immobilisés autres que les titres immobilisés de l'activité de portefeuille (droit de propriété);PCG
2972000;Titres immobilisés (droit de créance);PCG
2973000;Titres immobilisés de l'activité de portefeuille;PCG
2974000;Prêts;PCG
2975000;Dépôts et cautionnements versés;PCG
2976000;Autres créances immobilisées;PCG
3210000;Matières consommables;PCG
3220000;Fournitures consommables;PCG
3221000;Combustibles;PCG
3222000;Produits d'entretien;PCG
3223000;Fournitures d'atelier et d'usine;PCG
3224000;Fournitures de magasin;PCG
3225000;Fournitures de bureau;PCG
3260000;Emballages;PCG
3261000;Emballages perdus;PCG
3265000;Emballages récupérables non identifiables;PCG
3267000;Emballages à usage mixte;PCG
3310000;Produits en cours;PCG
3350000;Travaux en cours;PCG
3410000;Etudes en cours;PCG
3450000;Prestations de services en cours;PCG
3510000;Produits intermédiaires;PCG
3550000;Produits finis;PCG
3580000;Produits résiduels ou matières de récupération;PCG
3581000;Déchets;PCG
3585000;Rebuts;PCG
3586000;Matières de récupération;PCG
3910000;Dépréciations des matières premières et fournitures;PCG
3920000;Dépréciations des autres approvisionnements;PCG
3930000;Dépréciations des en-cours de production de biens;PCG
3940000;Dépréciations des en-cours de production de services;PCG
3950000;Dépréciations des stocks de produits;PCG
3970000;Dépréciations des stocks de marchandises;PCG
4010000;Fournisseurs;PCG
4011000;Fournisseurs - Achats de biens et de prestations de services;PCG
4011100;Fournisseurs de l'office;CNCJ
4011300;Fournisseurs liés aux comptes clients (activité de ventes judiciaires);CNCJ
4017000;Fournisseurs - Retenues de garanties;PCG
4030000;Fournisseurs - Effets à payer;PCG
4040000;Fournisseurs d'immobilisations;PCG
4041000;Fournisseurs - Achats d'immobilisations;PCG
4047000;Fournisseurs d'immobilisations - Retenues de garanties;PCG
4050000;Fournisseurs d'immobilisations - Effets à payer;PCG
4080000;Fournisseurs - Factures non parvenues;PCG
4084000;Fournisseurs d'immobilisations;PCG
4088000;Fournisseurs - Intérêts courus;PCG
4090000;Fournisseurs - Retenues de garanties;PCG
4091000;Fournisseurs - Retenues de garanties;PCG
4096000;Fournisseurs - Créances pour emballages et matériels à rendre;PCG
4097000;Fournisseurs - Autres avoirs;PCG
4098000;Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus;PCG
4110000;Clients;PCG
4111000;Clients - Ventes de biens ou de prestations de services;PCG
4117000;Clients - Retenues de garanties;PCG
4120000;Clients - Prestations de service facturées (activité de ventes judiciaires);CNCJ
4130000;Clients - Effets à recevoir;PCG
4160000;Clients douteux ou litigieux;PCG
4180000;Clients - Produits non encore facturés;PCG
4181000;Clients - Factures à établir;PCG
4188000;Clients - Intérêts courus;PCG
4190000;Clients créditeurs;PCG
4191000;Clients - Avances et acomptes reçus;PCG
4196000;Clients - Dettes pour emballages et matériels consignés;PCG
4196300;Fonds détenus pour le compte des clients (activité de ventes judiciaires);CNCJ
4196990;Clients ouverture informatique;CNCJ
4197000;Clients - Autres avoirs;PCG
4198000;Clients en attente d'imputation;PCG
4198990;Clients virements inter dossiers;PCG
4210000;Rénumérations dues;PCG
4220000;Comité social et économique;PCG
4240000;Participation des salariés aux résultats;PCG
4246000;Réserve spéciale;PCG
4248000;Comptes courants;PCG
4250000;Personnel - Avances, acomptes et autres comptes débiteurs;PCG
4260000;Personnel - Dépôts;PCG
4270000;Personnel - Opposition;PCG
4280000;Personnel - Charges à payer;PCG
4282000;Dettes provisionnées pour congés péayés;PCG
4284000;Dettes provisionnées pour participation des salariés aux résultats;PCG
4286000;Autres charges à payer;PCG
4310000;Sécurité sociale;PCG
4362000;Assurance maladie des professions libérales;CNCJ
4363000;Caisse de retraite des commissaires de justice - CAVOM;CNCJ
4368000;Autres organismes sociaux et de retraite des commissaires de justice;CNCJ
4370000;Autres organismes sociaux;PCG
4380000;Organismes sociaux - Charges à payer;PCG
4382000;Charges sociales sur congés payés;PCG
4386000;Autres charges à payer;PCG
4390000;Organismes sociaux - Produits à recevoir;PCG
4410000;Etat - Subventions et aides à recevoir;PCG
4420000;Contributions, impôts et taxes recouvrés pour le compte de l'Etat;PCG
4421000;Prélèvements à la source (Impôt sur le revenu);PCG
4422000;Prélèvements forfaitaires non libératoires;PCG
4423000;Retenues et prélèvements sur les distributions;PCG
4440000;Etat - Impôts sur les bénéfices;PCG
4450000;Etat - Taxes sur le chiffre d'affaires;PCG
4452000;TVA due intracommunautaire;PCG
4455000;Taxes sur le chiffre d'affaires à encaisser;PCG
4455100;Tva à décaisser;PCG
4455800;Taxes assimilés à la TVA;PCG
4456000;Taxes sur le chiffre d'affaires déductibles;PCG
4456200;TVA sur immobilisations;PCG
4456300;Tva transférée par d'autres entités;PCG
4456600;Tva sur autres biens et services;PCG
4456660;TVA déductible sur autres biens et services payés - encaissement;CNCJ
4456620;TVA déductible - Adjugé 5,5%;CNCJ
4456630;TVA déductible - Adjugé 10%;CNCJ
4456640;TVA déductible - Adjugé 20%;CNCJ
4456662;TVA Déductible Intracom;PCG
4456700;Crédit de TVA;PCG
4456800;Taxes assimilées à la TVA;PCG
4457000;Taxes sur le chiffre d'affaires collectées;PCG
4457100;Tva Collectée;CNCJ
4457110;Tva Collectée facturée - toutes prestations et honoraires (hors ventes judiciaires);CNCJ
4457111;TVA collectée honoraires - ventes judiciaires 5,5%;CNCJ
4457112;TVA collectée honoraires - ventes judiciaires 10%;CNCJ
4457113;TVA collectée honoraires - ventes judiciaires 20%;CNCJ
4457114;TVA collectée - Adjugé ventes judiciaires 5,5%;CNCJ
4457115;TVA collectée - Adjugé ventes judiciaires 10%;CNCJ
4457116;TVA collectée - Adjugé ventes judiciaires 20%;CNCJ
4457180;Tva Collectée facturée sur autres produits HT;CNCJ
4458000;Taxes sur le chiffre d'affaires à régulariser ou en attente;PCG
4458100;Acomptes - Régimes simplifié d'imposition;PCG
4458300;Remboursement de taxes sur le chiffre d'affaires demandé;PCG
4458400;TVA récupérée d'avance;PCG
4458600;Taxes sur le chiffre d'affaires sur factures non parvenues;PCG
4458700;Taxes sur le chiffre d'affaires sur factures à établir;PCG
4460000;Obligations cautionnées;PCG
4470000;Autres impots, taxes et versements assimilés;PCG
4480000;Etat - Charges à payer et produits à recevoir;PCG
4481000;Etat - Charges à payer;PCG
4482000;Etat - Produits à recevoir;PCG
4490000;Quotas d'émission à acquérir;PCG
4510000;Groupe;PCG
4550000;Associés - comptes courants;PCG
4551000;Principal;PCG
4552000;Charges sociales des commissaires de justice associés;CNCJ
4555000;CSG déductible des commissaires de justice associés;CNCJ
4556000;Frais divers des commissaires de justice associés;CNCJ
4558000;Intérets courus;PCG
4560000;Associés - Opérations sur le capital;PCG
4561000;Associés - Comptes d'apport en société;PCG
4562000;Apporteurs - Capital appelé, non versé;PCG
4563000;Associés - Versements reçus sur augmentation de capital;PCG
4564000;Associés - Versements anticipés;PCG
4566000;Actionnaires défaillants;PCG
4567000;Associés - Capital à rembourser;PCG
4570000;Associés - Dividences à payer;PCG
4580000;Associés - Opérations faites en commun et en GIE;PCG
4581000;Opérations courantes;PCG
4588000;intérêts courus;PCG
4620000;Créances sur cessions d'immobilisations;PCG
4640000;Dettes sur acquisitions de valeurs mobilières de placement;PCG
4650000;Créances sur cessions de valeurs mobilières de placement;PCG
4670000;Divers comptes débiteurs et produits à recevoir;PCG
4670300;Débours (activité de ventes judiciaires);CNCJ
4671000;Ventes judiciaires - Compte créditeur de regroupement des comptes auxiliaires;CNCJ
4672000;Ventes judiciaires - Compte débiteur de regroupement des comptes auxiliaires;CNCJ
4680000;Divers comptes créditeurs et charges à payer;PCG
4681000;Commissaires de justice - Divers comptes créditeurs et charges à payer;CNCJ
4682000;Ventes judiciaires - Compte adjudication;CNCJ
4682010;Ventes judiciaires - Adjudications assujetties 5,5%;CNCJ
4682020;Ventes judiciaires - Adjudications assujetties 10%;CNCJ
4682030;Ventes judiciaires - Adjudications assujetties 20%;CNCJ
4682040;Ventes judiciaires - Adjudications non assujetties TVA sur marge 5,5%;CNCJ
4682050;Ventes judiciaires - Adjudications non assujetties TVA sur marge 10%;CNCJ
4682060;Ventes judiciaires - Adjudications non assujetties TVA sur marge 20%;CNCJ
4682070;Ventes judiciaires - Adjudications non assujetties Livraison CEE exo TVA;CNCJ
4682080;Ventes judiciaires - Adjudications non assujetties Export eco TVA;CNCJ
4682090;Ventes judiciaires - Adjudications non assujetties Franchise exo TVA;CNCJ
4682100;Ventes judiciaires - Adjudications assujetties Livraison CEE exo TVA;CNCJ
4682110;Ventes judiciaires - Adjudications assujetties Export eco TVA;CNCJ
4682120;Ventes judiciaires - Adjudications assujetties Franchise exo TVA;CNCJ
4710000;Comptes d'attente;PCG
4720000;Comptes d'attente;PCG
4730000;Comptes d'attente;PCG
4740000;Différences d'évaluation - Actif;PCG
4741000;Différences d'évaluation sur les instruments financiers à terme - Actif;PCG
4742000;Différences d'évaluation sur jetons détenus - Actif;PCG
4746000;Différences d'évaluation de jetons sur des passifs - Actif;PCG
4750000;Différences d'évaluation - Passif;PCG
4751000;Différences d'évaluation sur instruments financiers à terme - Passif;PCG
4752000;Différences d'évaluation sur jetons détenus - Passif;PCG
4756000;Différences d'évaluation de jetons sur des passifs - Passif;PCG
4760000;Différences de conversion - Actif;PCG
4761000;Diminution des créances;PCG
4762000;Augmentation des dettes;PCG
4768000;Différences compensées par couverture de change;PCG
4770000;Différences de conversion - Passif;PCG
4771000;Augmentation des créances;PCG
4772000;Diminution des dettes;PCG
4778000;Différences compensées par couverture de change;PCG
4780000;Autres comptes transitoires;PCG
4781000;Mali de fusion sur actif circulant;PCG
4810000;Frais d'émission des emprunts;PCG
4860000;Charges constatées d'avance;PCG
4870000;Produits constatés d'avance;PCG
4871000;Produits constatés d'avance sur jetons émis;PCG
4880000;Comptes de répartition périodique des charges et des produits;PCG
4886000;Charges;PCG
4887000;Produits;PCG
4910000;Dépréciations des comptes clients;PCG
4950000;Dépréciations des comptes du groupe et des associés;PCG
4951000;Comptes du groupe;PCG
4955000;Comptes courants des associés;PCG
4958000;Opérations faites en commun et en GIE;PCG
4960000;Dépréciations des comptes de débiteurs divers;PCG
4962000;Créances sur cessions d'immobilisations;PCG
4965000;Créances sur cessions de valeurs mobilières de placement;PCG
4967000;Autres comptes débiteurs;PCG
5020000;Actions propres;PCG
5021000;Actions destinées à être attribuées aux employés et affectées à des plans déterminés;PCG
5022000;Actions disponibles pour les attribuées aux employés ou par la régularisation des cours de Bourse;PCG
5030000;Actions;PCG
5031000;Titres cotés;PCG
5035000;Titres non cotés;PCG
5040000;Autres titres conférant un droit de propriété;PCG
5050000;Obligations et bons émis par la société et rachetés par elle;PCG
5060000;Obligations;PCG
5061000;Titres cotés;PCG
5065000;Titres non cotés;PCG
5070000;Bon du Trésor et bons de caisse à court terme;PCG
5080000;Autres valeurs mobilières de placement et autres créances assimilées;PCG
5081000;Autres valeurs mobilières;PCG
5082000;Bons de souscription;PCG
5088000;intérêts courus sur obligations, bons et valeurs assimilées;PCG
5090000;Versement restant à effectuer sur valeurs mobilières de placement non libérées;PCG
5110000;Valeurs à l'encaissement;PCG
5111000;Coupons échus à l'encaissement;PCG
5112000;Chèques à encaisser;PCG
5113000;Effets à l'encaissement;PCG
5114000;Effets à l'escompte;PCG
5120000;Banques;PCG
5121000;Comptes en euros;PCG
5124000;Comptes en devises;PCG
5170000;Autres organismes financiers;PCG
5180000;Intérêts courus;PCG
5181000;Intérêts courus à payer;PCG
5188000;Intérêts courus à recevoir;PCG
5190000;Concours bancaires courants;PCG
5191000;Crédit de mobilisation de créances commerciales;PCG
5193000;Mobilisation de créances nées à l'étranger;PCG
5198000;Intérêts courus sur concours bancaires courants;PCG
5210000;Instruments financiers à terme;PCG
5220000;Jetons détenus;PCG
5230000;Jetons auto-détenus;PCG
5240000;Jetons empruntés;PCG
5300000;Caisse;PCG
5420000;Banques établissements dépositaires autorisés - comptes clients - Banque Fonds clients article 64;CNCJ
5421000;Banques établissements dépositaires autorisés - compte de placement;CNCJ
5800000;Virements internes;CNCJ
5810000;Virements internes - Banues établissements dépositaires autorisés;CNCJ
5900000;Dépréciations des valeurs mobilières de placement;PCG
5903000;Actions;PCG
5904000;Autres titres conférant un droit de propriété;PCG
5906000;Obligations;PCG
5908000;Autres valeurs mobilières de placement et créances assimilées;PCG
6010000;Achats stockés - Matières premières et fournitures;PCG
6020000;Achats stockés - Autres approvisionnements;PCG
6021000;Matières consommables;PCG
6022000;Fournitures consommables;PCG
6022200;Produits d'entretien;PCG
6022300;Fournitures d'atelier et d'usine;PCG
6022400;Fournitures de magasin;PCG
6022500;Fournitures de bureau;PCG
6026000;Emballages;PCG
6026100;Emballages perdus;PCG
6026200;Malis sur emballages;PCG
6026500;Emballages récupérables non identifiables;PCG
6026700;Emballages à usage mixte ;PCG
6030000;Variation des stocks d'approvisionnements et de marchandises;PCG
6031000;Variation des stocks de matières premières et fournitures;PCG
6032000;Variation des stocks des autres approvisionnements;PCG
6037000;Variation des stocks de marchandises;PCG
6040000;Achats d'études et prestations de services;PCG
6050000;Achats de matériel, équipements et travaux;PCG
6060000;Achats non stockés de matières et fournitures;PCG
6061000;Fournitures non stockables (eau, énergues, etc...);PCG
6063000;Fournitures d'entretien et pétit équipement;PCG
6064000;Fournitures administratives;PCG
6068000;Autres matièeres et fournitures;PCG
6070000;Achats de marchandises;PCG
6080000;(Compte réservé, le cas échéant, au regroupement des frais accessoires incorporés aux achats);PCG
6090000;Rabais, remises et ristournes obtenus sur achats (même ventilation que celle du compte 60);PCG
6098000;Rabais, remises et ristournes non affectés;PCG
6110000;Sous-traitance générale;PCG
6120000;Redevances de crédit-bail;PCG
6122000;Crédit-bail mobilier;PCG
6125000;Crédit-bail immobilier;PCG
6130000;Locations;PCG
6132000;Locations immobilières;PCG
6135000;Locations mobilières;PCG
6140000;Charges locatives;PCG
6150000;Entretien et réparations;PCG
6152000;Entretien et réparation sur biens immobiliers;PCG
6155000;Entretien et réparation sur biens mobiliers;PCG
6160000;Primes d'assurances;PCG
6161000;Multirisques;PCG
6162000;Assurance obligatoire dommage-construction;PCG
6163000;Assurance-transport;PCG
6164000;Risques d'exploitation;PCG
6165000;Insolvabilité clients;PCG
6170000;Etudes et recherches;PCG
6180000;Divers;PCG
6181000;Documentation générale;PCG
6183000;Documentation technique;PCG
6185000;Frais de colloques, séminaires, conférences;PCG
6190000;Rabais, remises et ristournes obtenus sur services extérieurs;PCG
6210000;Personnel extérieur à l'entreprise;PCG
6211000;Personnel intérimaire;PCG
6214000;Personnel détaché ou prêté à l'entité;PCG
6220000;Rémunérations d'intermédiaires et honoraires;PCG
6221000;Commissions et courtages sur achats;PCG
6222000;Commissions et courtages sur ventes;PCG
6224000;Rémunérations des transitaires;PCG
6225000;Rémunérations d'affacturage;PCG
6226000;Honoraires;PCG
6227000;Frais d'actes et contentieux;PCG
6228000;Divers;PCG
6230000;Publicité, publications, relations publiques;PCG
6231000;Annonces et insertions;PCG
6232000;Echantillons;PCG
6233000;Foires et expositions;PCG
6234000;Cadeaux à la clientèle;PCG
6235000;Primes;PCG
6236000;Catalogues et imprimés;PCG
6237000;Publications;PCG
6238000;Divers (pourboires, dons courants). ;PCG
6240000;Transports de biens et transports collectifs du personnel;PCG
6241000;Transports sur achats;PCG
6242000;Transports sur ventes;PCG
6243000;Transports entre établissements ou chantiers;PCG
6244000;Transports administratifs;PCG
6247000;Transports collectifs du personnel;PCG
6248000;Divers;PCG
6250000;Déplacements, missions et réceptions;PCG
6251000;Voyages et déplacements;PCG
6255000;Frais de déménagement;PCG
6256000;Missions;PCG
6257000;Réceptions;PCG
6260000;Frais postaux et télécommunications;PCG
6270000;Services bancaires et assimilés;PCG
6271000;Frais sur titres ;PCG
6272000;Commissions et frais sur émission d'emprunts;PCG
6275000;Services bancaires;PCG
6276000;Location de coffres;PCG
6278000;Autres frais et commissions sur prestations de services;PCG
6280000;Divers;PCG
6281000;Concours divers (cotisations);PCG
6281200;Cotisations chambres;CNCJ
6281210;Cotisations chambre nationale;CNCJ
6281220;Cotisations chambre régionale;CNCJ
6282000;Contribution volontaire obligatoire - CVO;CNCJ
6283000;Cotisations professionnelles volontaires;CNCJ
6284000;Frais de recrutement de personnel;PCG
6290000;Rabais, remises et ristournes obtenus sur autres services extérieurs;PCG
6310000;Impôts, taxes et versements assimilés sur rémunérations (administrations des impôts);PCG
6311000;Taxe sur les salaires;PCG
6314000;Cotisation pour défaut d'investissement obligatoire pour la construction;PCG
6318000;Autres;PCG
6330000;Impôts, taxes et versements assimilés sur rémunérations (autres organismes);PCG
6331000;Versement de transport;PCG
6332000;Allocations logement;PCG
6333000;Contribution unique des employeurs à la formation professionnelle;PCG
6334000;Participation des employeurs à l'effort de construction;PCG
6335000;Versements libératoires ouvrant droit à l'exonération de la taxe d'apprentissage;PCG
6338000;Autres;PCG
6350000;Autres impôts, taxes et versements assimilés (administration des impôts);PCG
6351000;Impôts directs (sauf impôts sur les bénéfices);PCG
6352000;Taxes sur le chiffre d'affaires non récupérables;PCG
6353000;Impôts indirects;PCG
6354000;Droits d'enregistrement et de timbre;PCG
6358000;Autres droits;PCG
6370000;Autres impôts, taxes et versements assimilés (autres organismes);PCG
6371000;Contribution sociale de solidarité à la charge des sociétés;PCG
6374000;Impôts et taxes exigibles à l'étranger;PCG
6378000;Taxes diverses;PCG
6380000;Rappel d'impôts (autres qu'impôts sur les bénéfices);PCG
6410000;Rémunérations du personnel;PCG
6411000;Salaires, appointements;PCG
6412000;Congés payés;PCG
6413000;Primes et gratifications;PCG
6414000;Indemnités et avantages divers;PCG
6415000;Supplément familial;PCG
6440000;Rémunération des commissaires de justice associés;CNCJ
6450000;Cotisations de Sécurité sociale et de prévoyance;PCG
6451000;Cotisations URSSAF ;PCG
6452000;Cotisations aux mutuelles;PCG
6453000;Cotisations aux  caisses de retraite;PCG
6454000;Cotisations France Travail;PCG
6458000;Cotisations aux autres organismes sociaux;PCG
6460000;Cotisations sociales personnelles de l'exploitant;PCG
6462000;Cotisations de retraite - CAVOM;CNCJ
6470000;Autres cotisations sociales;PCG
6471000;Prestations directes;PCG
6472000;Versements au comité social et économique;PCG
6474000;Versements aux autres œuvres sociales;PCG
6475000;Médecine du travail, pharmacie;PCG
6480000;Autres charges Personnel;PCG
6490000;Remboursements de charges de personnel;PCG
6510000;Redevances pour concessions, brevets, licences, marques, procédés, solutions informatiques, droits et valeurs similaires;PCG
6511000;Redevances pour concessions, brevets, licences, marques, procédés, solutions informatiques;PCG
6516000;Droits d'auteur et de reproduction;PCG
6518000;Autres droits et valeurs similaires;PCG
6530000;Rémunérations de l'activité des administrateurs et des gérants;PCG
6540000;Pertes sur créances irrecouvrables;PCG
6541000;Créances de l'exercice;PCG
6544000;Créances des exercices antérieurs;PCG
